N,Sect,Year,Mo,Da,Ho,Mi,Se,EpicentralArea,MainRef,TLDef,LatDef,LonDef,DepDef,IoDef,TIoDef,MwDef,ErMwDef,TMwDef,RefM,MdpN,Imax,LatM,LonM,ErrLatM,ErrLonM,TepiM,Io,MwM,ErMwM,TMwM,RefIns,LatIns,LonIns,DepIns,MwIns,ErMwIns,TMwIns,RefMwIns,EqID,CPTI11id
1,MA,1005,,,,,,Arezzo,CASAL996,MM,43.464,11.882,,6-7,bx,4.86,0.46,Mdm,CASAL996,4,7-8,43.464,11.882,,,bx0,6-7,4.86,0.46,bxi,,,,,,,,,10050000_0000_000,1
2,MA,1005,,,,,,Cassino,FIMA002,MM,41.488,13.831,,7,bx,5.10,0.46,Mdm,FIMA002,1,7,41.488,13.831,,,bx0,7,5.10,0.46,bxi,,,,,,,,,10050000_0000_001,2
3,MA,1019,04,01,,,,Benevento,FIMA002,MM,41.131,14.778,,6,bx,4.63,0.46,Mdm,FIMA002,1,6,41.131,14.778,,,bx0,6,4.63,0.46,bxi,,,,,,,,,10190401_0000_000,3
4,MA,1044,04,19,09,,,Benevento,FIMA002,MM,41.131,14.778,,6,bx,4.63,0.46,Mdm,FIMA002,1,6,41.131,14.778,,,bx0,6,4.63,0.46,bxi,,,,,,,,,10440419_0900_000,4
5,MA,1046,11,09,,,,Trentino,ALEX990,NP,,,,,,,,,ALEX990,2,HD,,,,,,,,,,,,,,,,,,10461109_0000_000,5
6,MA,1065,03,27,16,45,,Brescia,CFTI4med,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10650327_1645_000,
7,MA,1065,03,27,,,,Brescia,GUICO005,MM,45.539,10.220,,7,bx,5.10,0.46,Mdm,GUICO005,2,8,45.539,10.220,,,bx0,7,5.10,0.46,bxi,,,,,,,,,10650327_1125_000,6
8,MA,1087,09,10,,,,Bari,FIMA002,MM,41.129,16.869,,6-7,bx,4.86,0.46,Mdm,FIMA002,1,6-7,41.129,16.869,,,bx0,6-7,4.86,0.46,bxi,,,,,,,,,10870910_0000_000,7
9,MA,1091,01,27,,,,Roma,CFTI4med,MM,41.899,12.477,,7,bx,5.10,0.46,Mdm,CFTI4med,1,7,41.899,12.477,,,bx0,7,5.10,0.46,bxi,,,,,,,,,10910127_0000_000,8
10,MA,1094,01,14,,,,Benevento,FIMA002,MM,41.131,14.778,,6,bx,4.63,0.46,Mdm,FIMA002,1,6,41.131,14.778,,,bx0,6,4.63,0.46,bxi,,,,,,,,,10940114_0000_000,9
11,MA,1117,01,03,15,15,,Veronese,CFTI4med,MM,45.267,11.015,,9,bx,6.52,0.10,Mdm,CFTI4med,55,9,45.267,11.015,7.9,8.8,bx0,9,6.52,0.10,bxn,,,,,,,,,11170103_1515_000,10
12,MA,1117,01,03,15,15,,Monti Pisani,CFTI4med,NP,,,,,,,,,CFTI4med,5,7-8,,,,,,,,,,,,,,,,,,11170103_1515_001,11
13,MA,1120,03,25,,,,Valle del Garigliano,CFTI4med,MM,41.377,13.917,,8-9,bx,5.80,0.46,Mdm,CFTI4med,4,8-9,41.377,13.917,1.0,0.7,bx0,8-9,5.80,0.46,bxi,,,,,,,,,11200325_0000_000,12
14,MA,1125,06,07,11,,,Siracusa,CFTI4med,MM,37.073,15.286,,8-9,bx,5.80,0.46,Mdm,CFTI4med,1,8-9,37.073,15.286,,,bx0,8-9,5.80,0.46,bxi,,,,,,,,,11250607_1100_000,13
